path,line,lang,kind,status,component
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF_REFINED.v,348,coq,admit,inactive,03_DOMAIN_C_INFORMATION_FLOW_CONTROL
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_PROOF_REFINED.v,349,coq,admit,inactive,03_DOMAIN_C_INFORMATION_FLOW_CONTROL
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_v2.v,178,coq,axiom,inactive,03_DOMAIN_C_INFORMATION_FLOW_CONTROL
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_v2.v,232,coq,admit,inactive,03_DOMAIN_C_INFORMATION_FLOW_CONTROL
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_v2.v,233,coq,admit,inactive,03_DOMAIN_C_INFORMATION_FLOW_CONTROL
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_v2.v,253,coq,admit,inactive,03_DOMAIN_C_INFORMATION_FLOW_CONTROL
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeclassify_v2.v,254,coq,admit,inactive,03_DOMAIN_C_INFORMATION_FLOW_CONTROL
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeref_PROOF_FINAL.v,123,coq,axiom,inactive,03_DOMAIN_C_INFORMATION_FLOW_CONTROL
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeref_PROOF_FINAL.v,323,coq,axiom,inactive,03_DOMAIN_C_INFORMATION_FLOW_CONTROL
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeref_PROOF_FINAL.v,326,coq,axiom,inactive,03_DOMAIN_C_INFORMATION_FLOW_CONTROL
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeref_PROOF_FINAL.v,332,coq,axiom,inactive,03_DOMAIN_C_INFORMATION_FLOW_CONTROL
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeref_PROOF_FINAL.v,340,coq,axiom,inactive,03_DOMAIN_C_INFORMATION_FLOW_CONTROL
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeref_PROOF_FINAL.v,347,coq,axiom,inactive,03_DOMAIN_C_INFORMATION_FLOW_CONTROL
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationDeref_PROOF_FINAL.v,360,coq,axiom,inactive,03_DOMAIN_C_INFORMATION_FLOW_CONTROL
02_FORMAL/coq/properties/_archive_deprecated/LogicalRelationRef_PROOF.v,132,coq,axiom,inactive,03_DOMAIN_C_INFORMATION_FLOW_CONTROL
