kind,symbol,file,line,context_decl,detail
AxiomUsage,val_rel_n_step_up,02_FORMAL/coq/properties/NonInterference_v2_LogicalRelation.v,3156,step_up_at_0,apply val_rel_n_step_up; assumption.
AxiomUsage,val_rel_n_step_up,02_FORMAL/coq/properties/NonInterference_v2_LogicalRelation.v,3454,logical_relation,{ apply val_rel_n_step_up.
AxiomUsage,val_rel_n_step_up,02_FORMAL/coq/properties/NonInterference_v2_LogicalRelation.v,3455,logical_relation,- apply val_rel_n_step_up.
AxiomUsage,val_rel_n_step_up,02_FORMAL/coq/properties/NonInterference_v2_LogicalRelation.v,3481,logical_relation,{ apply val_rel_n_step_up; [exact Harel | exact Htya1 | exact Htya2]. }
AxiomUsage,val_rel_n_step_up,02_FORMAL/coq/properties/NonInterference_v2_LogicalRelation.v,3611,logical_relation,{ apply val_rel_n_step_up; assumption. }
AxiomUsage,val_rel_n_step_up,02_FORMAL/coq/properties/NonInterference_v2_LogicalRelation.v,3613,logical_relation,{ apply val_rel_n_step_up; assumption. }
AxiomUsage,val_rel_n_step_up,02_FORMAL/coq/properties/NonInterference_v2_LogicalRelation.v,3659,logical_relation,{ apply val_rel_n_step_up; assumption. }
AxiomUsage,val_rel_n_step_up,02_FORMAL/coq/properties/NonInterference_v2_LogicalRelation.v,3661,logical_relation,{ apply val_rel_n_step_up; assumption. }
AxiomUsage,val_rel_n_step_up,02_FORMAL/coq/properties/NonInterference_v2_LogicalRelation.v,3754,logical_relation,{ apply val_rel_n_step_up; [exact Hval | exact Htyv1 | exact Htyv2]. }
AxiomUsage,val_rel_n_step_up,02_FORMAL/coq/properties/NonInterference_v2_LogicalRelation.v,3756,logical_relation,{ apply val_rel_n_step_up; [exact Hval1 | exact Htyv1 | exact Htyv2]. }
AxiomUsage,val_rel_n_step_up,02_FORMAL/coq/properties/NonInterference_v2_LogicalRelation.v,3869,logical_relation,{ apply val_rel_n_step_up; [exact Hval | exact Htyv1_sn | exact Htyv2_sn]. }
AxiomUsage,val_rel_n_step_up,02_FORMAL/coq/properties/NonInterference_v2_LogicalRelation.v,4585,logical_relation,{ apply val_rel_n_step_up; [exact Hval | exact Htyv1 | exact Htyv2]. }
AxiomUsage,val_rel_n_step_up,02_FORMAL/coq/properties/NonInterference_v2_LogicalRelation.v,4587,logical_relation,{ apply val_rel_n_step_up; [exact Hval_up1 | exact Htyv1 | exact Htyv2]. }
AxiomUsage,val_rel_n_step_up,02_FORMAL/coq/properties/NonInterference_v2_LogicalRelation.v,4645,logical_relation,{ apply val_rel_n_step_up; [exact Hval1 | exact Htyv1 | exact Htyv1']. }
AxiomUsage,val_rel_n_step_up,02_FORMAL/coq/properties/NonInterference_v2_LogicalRelation.v,4647,logical_relation,{ apply val_rel_n_step_up; [exact Hval1_up1 | exact Htyv1 | exact Htyv1']. }
AxiomUsage,logical_relation_declassify,02_FORMAL/coq/properties/NonInterference_v2_LogicalRelation.v,4773,logical_relation,eapply logical_relation_declassify.
AxiomUsage,val_rel_n_step_up,02_FORMAL/coq/properties/NonInterference_v2_LogicalRelation.v,4891,step_up_and_fundamental_mutual,apply val_rel_n_step_up; assumption.
ClassicalOrExtensionalityImport,Coq.Logic.FunctionalExtensionality,02_FORMAL/coq/properties/SubstitutionCommute.v,13,,Require Import Coq.Logic.FunctionalExtensionality.
AxiomUsage,val_rel_n_step_up,02_FORMAL/coq/properties/ValRelStepLimit_PROOF.v,73,val_rel_n_step_up_k,apply val_rel_n_step_up.
ClassicalOrExtensionalityImport,Coq.Logic.FunctionalExtensionality,02_FORMAL/coq/termination/ReducibilityFull.v,25,,Require Import Coq.Logic.FunctionalExtensionality.
