scope,file,language,line,type,name
archive,02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceLegacy.v,coq,3828,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceLegacy.v,coq,3829,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceLegacy.v,coq,4883,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceZero.v,coq,187,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceZero.v,coq,222,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceZero.v,coq,260,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceZero.v,coq,261,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceZero.v,coq,283,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceZero.v,coq,286,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceZero.v,coq,420,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceZero.v,coq,455,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceZero.v,coq,470,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceZero.v,coq,471,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/NonInterference_v2_DEFINITIVE_PATCH.v,coq,375,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/NonInterference_v2_DEFINITIVE_PATCH.v,coq,376,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/NonInterference_v2_DEFINITIVE_PATCH.v,coq,387,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/NonInterference_v2_DEFINITIVE_PATCH.v,coq,388,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/NonInterference_v2_DEFINITIVE_PATCH.v,coq,397,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/NonInterference_v2_DEFINITIVE_PATCH.v,coq,398,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/NonInterference_v2_DEFINITIVE_PATCH.v,coq,413,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/NonInterference_v2_DEFINITIVE_PATCH.v,coq,414,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/NonInterference_v2_DEFINITIVE_PATCH.v,coq,423,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/NonInterference_v2_DEFINITIVE_PATCH.v,coq,424,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/NonInterference_v2_DEFINITIVE_PATCH.v,coq,433,admit tactic,
archive,02_FORMAL/coq/properties/_archive_deprecated/NonInterference_v2_DEFINITIVE_PATCH.v,coq,434,Admitted,
archive,02_FORMAL/coq/properties/_archive_deprecated/Phase3_Infrastructure_Helpers_FINAL.v,coq,45,Axiom,store_ty_extends_has_type
