file,language,line,type,name
02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceLegacy.v,coq,2151,Axiom,logical_relation_declassify
02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceLegacy.v,coq,3828,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceLegacy.v,coq,3829,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceLegacy.v,coq,4883,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceZero.v,coq,187,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceZero.v,coq,222,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceZero.v,coq,260,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceZero.v,coq,261,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceZero.v,coq,283,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceZero.v,coq,286,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceZero.v,coq,420,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceZero.v,coq,455,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceZero.v,coq,470,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/NonInterferenceZero.v,coq,471,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/NonInterference_v2_DEFINITIVE_PATCH.v,coq,375,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/NonInterference_v2_DEFINITIVE_PATCH.v,coq,376,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/NonInterference_v2_DEFINITIVE_PATCH.v,coq,387,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/NonInterference_v2_DEFINITIVE_PATCH.v,coq,388,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/NonInterference_v2_DEFINITIVE_PATCH.v,coq,397,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/NonInterference_v2_DEFINITIVE_PATCH.v,coq,398,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/NonInterference_v2_DEFINITIVE_PATCH.v,coq,413,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/NonInterference_v2_DEFINITIVE_PATCH.v,coq,414,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/NonInterference_v2_DEFINITIVE_PATCH.v,coq,423,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/NonInterference_v2_DEFINITIVE_PATCH.v,coq,424,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/NonInterference_v2_DEFINITIVE_PATCH.v,coq,433,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/NonInterference_v2_DEFINITIVE_PATCH.v,coq,434,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/Phase3_Infrastructure_Helpers_FINAL.v,coq,45,Axiom,store_ty_extends_has_type
02_FORMAL/coq/properties/_archive_deprecated/Phase3_Infrastructure_Helpers_FINAL.v,coq,77,Axiom,value_typing_from_val_rel_FO
02_FORMAL/coq/properties/_archive_deprecated/Phase3_Infrastructure_Helpers_FINAL.v,coq,153,Axiom,FO_noninterference_pure
02_FORMAL/coq/properties/_archive_deprecated/Phase3_Infrastructure_Helpers_FINAL.v,coq,174,Axiom,pure_eval_preserves_store
02_FORMAL/coq/properties/_archive_deprecated/ReducibilityFull_FINAL.v,coq,658,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/ReducibilityFull_FINAL.v,coq,659,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/ReducibilityFull_FINAL.v,coq,689,Axiom,store_wf_initial
02_FORMAL/coq/properties/_archive_deprecated/ReducibilityFull_FINAL.v,coq,1028,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/ReducibilityFull_FINAL.v,coq,1170,Admitted,
02_FORMAL/coq/properties/_archive_deprecated/RelationBridge.v,coq,105,admit tactic,
02_FORMAL/coq/properties/_archive_deprecated/RelationBridge.v,coq,106,Admitted,
